Date,JPM,USB,WFC,CMA,C,BAC
23/10/1998,1.2589216,0.2377614,0.7689525,0,-0.8562416,0.0511523
26/10/1998,-0.0571774,0.0943002,-0.1823103,0.1781565,0.2615004,0.0783087
27/10/1998,0.0934977,0.250766,0.195397,0.2597402,-0.00881234,0.0250969
28/10/1998,0.1143048,-0.1024787,-0.299798,0.2431235,-0.1157165,-0.0203613
29/10/1998,0.3644643,-0.1030267,-0.2354358,0.4887148,0.1752181,-0.1271408
30/10/1998,-0.5930989,0.1100874,-1.2366884,-0.1892329,0.363599,-0.3718558
11/02/1998,0.1399797,-0.6482238,0.1359612,-0.2213038,0,-0.0916332
11/03/1998,0.1240579,0.3940189,-0.092736,-0.2643916,0.3771552,0.6836573
11/04/1998,-0.344596,-0.5688918,-1.4371759,-0.0942269,-0.7979002,-0.4944597
11/05/1998,0.2899971,0.316889,-0.0719987,0.1718645,0.1982947,0.0299759
11/06/1998,1.5809854,1.1740088,1.516584,1.2376904,1.8017685,2.0335474
11/09/1998,0.093675,1.1694439,0.4660345,2.2468463,0.1447373,-0.309105
11/10/1998,1.4606826,1.3974247,1.2468618,1.5938189,0.8796272,1.2634883
11/11/1998,1.0897773,0.488289,0.1579397,0.1463179,0.5657485,0.411324
11/12/1998,0.3665729,-0.052918,0.1717118,-0.1987723,0.2739475,0.1676889
13/11/1998,-0.5308733,-0.1605375,-0.145486,-0.513291,0.0867558,-0.0407005
16/11/1998,-0.7040466,0.1915423,0.0440329,0.1520171,-0.221201,-0.1169772
17/11/1998,0.0591672,0.1488619,-0.1413598,-0.2428393,0.3413123,0.6212011
18/11/1998,-1.7835733,1.2297326,0.4083221,-0.1225441,-0.5803667,-0.1431066
19/11/1998,1.1836257,0.4068245,-0.4746411,-0.4922723,-0.3043156,0.3151796
20/11/1998,-3.1889139,-3.2396603,-0.8134684,-3.1069937,-3.6921102,-3.4907538
23/11/1998,-0.2002224,-0.2871655,-0.2459184,-0.2537928,0.0127636,0.0363694
24/11/1998,0,0.0689166,0.1541576,-0.1466917,-0.1453144,0.0673121
25/11/1998,-0.0203206,-0.2454144,-0.1706774,0.0296214,0.1627185,-0.0531298
27/11/1998,0.2815518,0.1562674,0.2046737,-0.4081902,0.087799,0.4370273
30/11/1998,0.5820216,0.3381114,1.1806804,0.856967,0.1541326,0.3201174
12/01/1998,0.6134756,0.1883237,0.5568155,1.2418643,0.4707656,0.4907355
